"Index","XStart","YStart","Angle","Major","Minor","SineRad"
1575,72,398,1.9187845,7.84156,5.0334916,0.0334828477266712
1575,72,410,179.38512,6.942031,4.9520764,0.0107314745130903
1575,73,422,170.25473,5.9393497,4.930592,0.169268141604588
1575,73,434,3.3067303,7.33573,4.686305,0.0576812976768086
1574,76,313,19.530329,6.440658,5.139883,0.334305791147431
1574,73,326,175.65683,6.44527,4.741112,0.0757300432251566
1574,73,338,154.59377,5.088023,4.5043645,0.429033354138219
1574,72,350,139.92654,5.8014364,4.1699243,0.643769241135781
1574,73,362,161.56505,5.9182615,4.3027487,0.31622778550648
1574,73,374,177.24017,6.987582,4.73758,0.0481494961022901
1574,73,386,170.09511,5.8325458,4.584281,0.17201317538517
1574,72,398,176.34215,7.897096,4.514407,0.0637981679658421
1574,73,410,173.62653,7.0019846,4.727835,0.111008770099475
1574,73,422,0.24910581,6.69657,4.373061,0.00434770287314062
1574,72,434,10.792645,6.681706,4.9544573,0.187255217843014
1573,75,313,23.715454,7.0168805,4.536345,0.402194737460862
1573,74,325,157.91689,6.478576,5.3063307,0.375951119025082
1573,74,338,149.03624,4.6225605,4.407045,0.514495807328773
1573,74,350,163.71297,5.878655,4.1151505,0.280449431371615
1573,73,362,169.04257,6.467785,4.5277495,0.190079606872661
1573,72,374,175.48026,7.1900406,4.6041784,0.0788025569940388
1573,72,386,169.81807,6.7746563,4.6985393,0.176774334926908
1573,72,398,170.73277,8.29714,4.7571125,0.161039368105643
1573,72,410,173.97162,6.643908,4.982644,0.105021061427272
1573,73,422,179.04543,6.3391247,4.6196456,0.0166596187180292
1573,72,434,179.06761,6.640767,4.7932696,0.0162725571754239
1572,73,314,23.187418,6.8764777,4.814126,0.393740060430867
1572,72,326,1.4959154,6.222986,4.705861,0.0261056829519941
1572,73,338,104.872444,4.8412247,4.2079916,0.966499633750822
1572,72,350,137.07982,5.7128496,4.4574585,0.680978833793152
1572,73,362,169.51155,7.6770077,4.3121266,0.182037311830468
1572,72,374,165.85649,6.2049065,4.719573,0.244351455255757
1572,73,386,175.96838,6.4460955,4.3454633,0.0703069918678505
1572,72,398,169.86522,7.475807,4.7688107,0.175964312294428
1572,72,410,167.81096,7.3301897,4.516149,0.21113782457456
1572,72,422,164.65936,6.5975637,4.824658,0.26455714585039
1572,72,434,173.97162,6.643908,4.982644,0.105021061427272
1571,73,314,28.527851,5.7484,4.429892,0.477585889530354
1571,75,325,15.43749,6.3216634,5.236633,0.266186891294354
1571,72,338,138.15721,5.4078064,4.2380056,0.667089025465966
1571,72,350,157.64253,5.5084057,5.0851865,0.380383991512872
1571,71,362,155.43752,7.6788507,4.642714,0.415685292022033
1571,72,374,168.98734,6.872088,4.4466467,0.19102588976682
1571,73,386,2.2688863,6.022313,4.4398274,0.0395891876074083
1571,72,398,175.61462,7.232248,4.929409,0.0764646105361148
1571,73,410,0.5239883,7.171697,4.2608814,0.00914519359641384
1571,74,422,8.161209,6.2724943,4.4657307,0.141958792203355
1571,73,434,178.91655,6.9240313,4.5971756,0.0189086428435473
1570,74,314,36.38295,6.0816507,3.9777935,0.593179341133191
1570,75,325,79.73534,5.534622,4.600999,0.983995135862662
1570,74,338,75.96375,4.640374,4.115744,0.970142472494763
1570,72,350,157.91621,7.0638976,3.9654129,0.375962116577533
1570,73,362,165.14261,6.736874,4.7248898,0.256414042919363
1570,73,374,173.22841,6.2095966,4.7160087,0.117911593769495
1570,72,386,157.2939,5.9061975,4.742691,0.386004258232577
1570,73,398,0,6.624562,4.8049955,0
1570,72,410,171.3088,6.7434936,4.720252,0.151108996701674
1570,73,422,9.745265,5.9393497,4.930592,0.169268055597377
1570,71,434,178.37703,7.4990883,4.7540054,0.0283223822924886
1569,75,313,70.43194,5.4399385,3.9789186,0.942244306616792
1569,73,326,135,4.6590667,4.0992312,0.707106781186548
1569,73,338,105.17162,5.2288895,4.1395164,0.965146244793923
1569,72,350,151.66257,6.947839,4.581423,0.47466330321706
1569,72,362,157.5,6.302062,4.646814,0.38268343236509
1569,72,374,169.81807,6.7746563,4.6985393,0.176774334926908
1569,79,376,0,1.1283792,1.1283792,0
1569,73,386,0,5.206759,4.6461825,0
1569,73,398,0,7.5980186,4.692106,0
1569,72,410,179.38512,6.942031,4.9520764,0.0107314745130903
1569,73,422,174.84758,5.665064,4.270305,0.0898055390933837
1569,72,434,179.38512,6.942031,4.9520764,0.0107314745130903
1568,75,314,51.197704,5.120437,3.4812174,0.779312854561827
1568,75,325,141.60242,6.1786685,5.5638957,0.621114678888869
1568,74,338,180,4.477149,3.9814074,1.22464679914735e-16
1568,73,350,121.58606,5.2885485,4.3335733,0.851854394126425
1568,73,362,170.44351,6.014977,4.868599,0.166019940452673
1568,72,374,174.51607,7.829933,4.5531306,0.0955665655917436
1568,73,386,174.55064,6.323969,4.6307173,0.094965949465727
1568,72,398,162.66484,7.051515,4.3335013,0.297960714427251
1568,72,410,172.085,7.157706,4.802861,0.137703856095119
1568,73,422,0,5.5818048,4.562107,0
1568,72,434,176.42395,7.358752,5.0176916,0.0623733325399972
1567,74,314,33.976025,5.3329782,4.2974696,0.55884594981468
1567,73,326,135,4.6590667,4.0992312,0.707106781186548
1567,74,338,0,3.9088202,3.9088202,0
1567,73,350,135,5.2009816,4.1617284,0.707106781186548
1567,72,362,163.59857,6.7557583,4.5232153,0.282365399512942
1567,73,374,0.5939955,8.185717,4.5107775,0.0103669915101545
1567,72,386,174.3981,6.474043,4.7200413,0.0976159026958668
1567,72,398,173.95262,6.7158594,4.9292617,0.105350834386534
1567,72,410,170.70734,7.0317535,4.88889,0.161477396487469
1567,73,422,15.417308,6.0097857,4.6609435,0.265847340835613
1567,73,434,7.435638,6.766272,4.8925357,0.129412391521451
1566,74,314,54.485203,4.698726,3.7936566,0.813965520971667
1566,73,326,164.82837,5.2288895,4.1395164,0.26171131869026
1566,73,338,135,4.6590667,4.0992312,0.707106781186548
1566,72,350,156.89056,5.5869784,4.102094,0.392488660222712
1566,72,362,165.87404,7.7419553,4.9337907,0.244054423626669
1566,73,374,176.42395,7.358752,5.0176916,0.0623733325399972
1566,74,385,165.29727,6.9392886,5.504482,0.253804032175941
1566,74,398,6.4178047,7.270941,4.728063,0.11177774083354
1566,72,410,173.6921,7.2037063,5.1256876,0.109871358388863
1566,72,422,9.236871,6.006131,4.6637793,0.160516396816437
1566,71,434,159.90944,6.8293295,4.8473616,0.343504965615588
1565,74,315,0,3.9664564,3.2100177,0
1565,74,326,0,4.962695,4.104994,0
1565,74,338,45,4.3803387,3.7787292,0.707106781186547
1565,74,350,145.27802,4.3141656,3.5415597,0.569594875200868
1565,71,362,172.76004,8.2830105,4.918944,0.126025137123409
1565,72,374,167.42616,7.606306,4.6869936,0.217697636422095
1565,71,386,171.35378,7.805233,4.4044127,0.15033291575412
1565,72,398,171.65038,6.80777,4.6756854,0.14521310812848
1565,73,410,178.91655,6.9240313,4.5971756,0.0189086428435473
1565,72,422,166.29622,5.6946945,4.695253,0.236902241993291
1565,73,434,3.952291,7.041437,4.8821664,0.0689257988888154
1564,74,314,90,4.263731,4.1806936,1
1564,74,326,45.000557,4.659061,4.0992365,0.707113655280347
1564,74,338,180,4.477149,3.9814074,1.22464679914735e-16
1564,74,350,45,4.3803387,3.7787292,0.707106781186547
1564,71,362,170.11467,8.547697,4.4687104,0.171676867450546
1564,72,374,168.2311,7.567222,5.0477157,0.203964695071656
1564,72,386,0,8.065766,4.893574,0
1564,72,398,174.69853,7.4816084,4.59493,0.0923961340675651
1564,73,410,172.83392,6.5056853,4.109948,0.124745864173262
1564,74,422,178.83923,6.46988,4.1326933,0.0202578725267569
1564,73,434,4.1839213,6.6187572,4.616841,0.0729583216212683
1563,74,314,134.99959,4.380334,3.7787335,0.707111841118456
1563,74,326,142.16136,4.616185,3.5856693,0.613439791000545
1563,74,338,134.99959,4.380334,3.7787335,0.707111841118456
1563,73,350,170.60568,5.254752,4.119142,0.163228157902462
1563,71,362,175.89734,8.461387,5.1161995,0.0715437512001285
1563,72,374,164.9606,6.8405976,4.8393764,0.259483212143882
1563,74,385,176.00694,7.9046392,4.9933243,0.0696356424391008
1563,72,398,175.61462,7.232248,4.929409,0.0764646105361148
1563,74,410,173.77283,6.359636,4.8049526,0.108470775855412
1563,74,422,6.8997426,5.6987863,4.2450356,0.120132378893419
1563,73,434,9.44632,6.6373897,4.6038804,0.164123489737028
1562,74,314,90,4.263731,4.1806936,1
1562,74,326,90,4.513517,3.3851376,1
1562,73,339,164.9293,4.3836617,3.1949627,0.260010749787741
1562,73,350,3.709325,5.855348,4.5664287,0.0646947201131207
1562,73,362,178.45226,7.8571906,4.537335,0.0270098737859003
1562,72,374,165.46236,6.568233,4.6523547,0.251015966759939
1562,72,386,1.1560836,7.284026,4.7195697,0.0201760961339261
1562,73,398,175.43793,7.158885,4.446361,0.0795390358116143
1562,72,410,3.338701,6.8448863,4.8363447,0.0582383536140843
1562,74,422,16.094475,6.1040335,4.3803873,0.277222004616271
1562,72,434,170.82901,6.9972744,4.9129796,0.159381360370094
1561,74,314,90,4.263731,4.1806936,1
1561,74,326,90,4.263731,4.1806936,1
1561,74,338,166.22359,4.359216,3.7970388,0.238133598887513
1561,74,350,5.8841443,4.7585263,4.013552,0.102517264596043
1561,72,362,1.9845943,8.400289,4.85027,0.0346307790501536
1561,72,374,171.8699,7.178483,4.434222,0.14142131556249
1561,72,386,176.42644,7.649232,4.827144,0.0623299584016843
1561,73,398,0,6.624562,4.8049955,0
1561,72,410,0.15740441,7.2743015,4.550846,0.00274722175599614
1561,72,422,0.22675957,6.5121713,4.887923,0.00395769077507335
1561,72,434,176.47232,7.306898,4.8790483,0.0615307384367218
1560,74,314,41.64508,5.0471683,4.2885575,0.664514370461266
1560,74,326,90,4.263731,4.1806936,1
1560,74,338,134.99959,4.380334,3.7787335,0.707111841118456
1560,75,350,18.434948,4.7554154,4.0161777,0.316227752391186
1560,72,362,179.54587,7.399635,4.989969,0.00792598074317083
1560,73,374,2.2461545e-14,7.2990503,4.3609767,3.9202791533487e-16
1560,72,386,179.53705,7.673423,4.977855,0.00807991385331849
1560,73,398,179.64415,7.088146,4.670365,0.00621071421491236
1560,73,410,11.309933,5.6229725,4.7551417,0.196116144139992
1560,78,412,0,1.1283792,1.1283792,0
1560,72,422,0,6.2240677,4.9096107,0
1560,72,434,176.42644,7.649232,4.827144,0.0623299584016843
1559,74,314,155.64235,4.7462296,3.7556872,0.412431187998904
1559,74,326,0,4.962695,4.104994,0
1559,74,338,0,3.9088202,3.9088202,0
1559,74,350,41.532825,5.0834384,4.257959,0.663049019423049
1559,72,362,2.2308388,7.7135973,4.6218004,0.0389256453715887
